word	definition	language
maladroit	clumsy (As a child she was quite .. But as an adult, she has become an adept dancer)	English
clumsy	heavyhanded	English
peevish	irritable (Our office manager is ..., so the rest of us tip-toe around him, hoping not to set off another one of his fits)	English
irritable	become annoy very easily	English
ignoble	dishonorable (In the 1920s, The world series was rigged -- an .. .act which baseball took decades to recover from)	English
fastidious	fussy (Whitney is ... about her shoes, arranging them on a shelf in a specific order, each pair evenly spaced)	English
behoove	be one's duty (The teacher looked down at the student and said, It would ... you to be in class on time and complete your homework so that you don't repeat freshman English for a third straight year)	English
aboveboard	honest (The mayor, despite his avunular face plastered about the city, was hardly ... - some concluded that it was his ingratiating smile that allowed him to engage in corrupt behaviour and get away with it)	English
implacable	unable to be calmed	English
aesthete	appreciator of beauty (A true ..., Marty would spend hours at the Guggenheim Museum, staring at the same Picasso)	English
vaunted	boasted about(For years, Mark talked up his Ping Pong game, yet when he entered the office tournament, his much .. Skills suddenly failed him and he lost all three games he played)	English
quip	witty remark (in one of the most famous .. About classical music, Mark Twain said: Wagner's music is better than it sounds)	English
boast about	express something that they have done or that they own, they talk about it very proudly, in a way that other people may find irritating or offensive	English
besiege	harass (After discovering a priceless artifact in her backyard, Jane was ...by phone calls, emails, and reporters all trying to buy, hold or see the rare piece of history)	English
begrudge	envy (Sitting all alone in his room, Harvey ... the happiness of the other children playing outside his window)	English
besmirch	dishonor (The prince's distasteful choice of words ...not only his own name, but the reputation of the entire royal family.)	English
supercilious	arrogant (Nelly fet the Quiz Bowl director acted ... towards the underclassmen; really she fumed, must he act so preternaturally omniscient each time he intones some obscure fact)	English
pugnacious	combative (The comedian told one flat joke after another, and when the audience started booing, he ... spat back at them,Hey you think this is easy - why don't you buffoons give it a shot?)	English
claustrophobia	extreme or irrational fear of confined places	English
intrepid	fearless (Captain Ahab was an ..captain whose reckless and fearless style ultimately leads to his downfall)	English
cadeverous	corpse-like (Some actors take challenging roles in which they have to lose so much weight that they appear ...)	English
guffaw	laugh loudly (Whenever the jester fell to the ground in mock pain, the king .., exposing his yellow, fang-like teeth.)	English
deign	stoop to (The master of the house never .. To answer questions from the servants)	English
stoop to	a posture in which the head and shoulders are habitually bent forward.	English
unstinting	very generous (Helen is ...with her time, often spending hours at the house of a sick friend)	English
bilious	grumpy (Rex was ..all morning, and his face would only take on a look of contentedness when he'd had his morning cup of coffee)	English
grumpy	bad tempered and irritable	English
perspicacious	very insightful (Many modern observers regard Eisenhower as .., particularly in his accurate prediction of the growth of the military.)	English
raconteur	storyteller (Jude is entertaining, but he is no .., beyond the handful of amusing stories he has memorized he has absolutely no spontaneous story-telling ability)	English
pontificate	speak pompously (The vice-president would often ...about economic theory, as if no oneelse in the room were qualified to speak on the topic)	English
magnanimous	likely to forgive (He was a great sportman, in defeat he was complementary and in victory he was ..)	English
obdurate	stubborn (no number of pleas and bribes would get him to change his ...attitude)	English
choleric	easily angered (while a brilliant lecturer, Mr. Dawson came across as..and unapproachable -- very rarely did students come to his office hours)	English
vilify	speak ill of (Todd was noble after the divorce, choosing to say only complimentary things abot Barbara, but Barbara did not hesitate to ..Todd)	English
temerity	fearless daring (No child has the ..to go in the rundown house at the end of the street and see if it is haunted)	English
jejune	immature (Although many top chefs have secured culinary foam's popularity in haute cuisine, Waters criticizes it for being ...and unfilling)	English
acerbic	harsh (Most movie critics are ..towards summer blockbusters, often refering to them as garbage)	English
ersatz	fake (The car dealer's ...laughter was immediately followed by a price quote, one that Shelly found highly inflated)	English
pollyannaish	overly optimistic (Even in the midst of a lousy sales quarter, Debbie remained ...,never losing her shrill voice and wide smile, even when prospective customers hung up on her)	English
gregarious	sociable (Often we think that great leaders are those who are gregarious, always in the middle of a large group of people, yet, as Mahatma Gandhi and many others have shown us, leaders can also be introverted)	English
errant	used to describe someone who behaves recklessly or who is irresponsible. For example, The errant driver caused a multi-car accident on the freeway	English
gumption	resourcefulness (Wallace Stegner lamented the lack of ..in the US during the sixties, claiming that no young person knew the value of work)	English
dilettante	dabbler (Fred has no formal medical training, while he likes to claim authority on medical issues, he is little more than a ...)	English
dabbler	someone who takes a slight and not very serious interest in a subject, or tries a particular activity for a short period	English
panegyric	formal praise (Dave asked Andrew to do just a simple toast, but Andrew launched into a full ..., enumeratiing a complete list of Dave achievements and admirable qualities)	English
wanton	showing no limits (Due to ..behavior and crude language, the drunk man was thrown out of the bar and asked to never return)	English
incisive	acute	English
staunch	dependable (No longer a ...supporter of Anarchism, Terry now sometimes questions whether society would be better off withot defined hierachies)	English
contrition	remorse (Those who show ..during their prison terms - especially when under review by a parole board - often get shortened sentences)	English
nitwit	stupid and silly	English
superstition	belief in things that are not real or possible, for example magic.	English
prick	vulgar, obsolete	English
muttonhead	a person lacking intelligence	English
dumbbell	foolish	English
cretin	stupid, imbecile	English
dignity	the state or quality of being worthy of honor or respect.	English
deranged	corrupt	English
cocoon	the covering made of soft, smooth threads that surrounds and protects particular insects during the pupa stage as they develop into adult form	English
timid	showing a lack of courage or confidence	English
saboteur	a person who deliberately damages or destroys things such as machines	English
sybarite	lover of luxury (Despite the fact that he'd maxed out fifteen credit cards, Max was still a ...at heart)	English
untrammeled	not limit (The whole notion of living ...inspired the American Revolution and was enshrined in the Declaration of Independence and the Constitution)	English
hector	bully (The boss's ...ing manner put off many employees, some of whom quit as soon as they found new jobs)	English
panache	distinctive style (Jim with his typical ...came to the wedding reception with a top hat, a cane, and a long cape covered in sequins)	English
dissemble	act deceitfully (To get close to the senator, the assassin ...his intentions, convincing many people that he was a reporter for a well-known newspaper)	English
fractious	irritable (We rarely invite my ...Uncle Nino over for dinner, he always complains about the food, and usually launches into a tirade on some touchy subject)	English
craven	cowardly (Though the man could have at least alerted the police, he crouched ...in the corner as the old woman was mugged)	English
macabre	gruesome (Edgar Allen Poe was considered the master of the ...: his stories vividly describe the moment leading up to - and often those moments after - a grisly death.)	English
apostate	rejector of faith (An ...of the Republican Party, Sheldon has yet to become affiliated with any party and dubs himself as an independence)	English
speculate	to guess possible answers to a question when you do not have enough information to be certain	English
reckless	doing something dangerous and not worrying about the risks and the possible results	English
bulldog	a person noted for courageous or stubborn tenacity	English
manifestation	an event, action, or object that clearly shows or embodies something, especially a theory or an abstract idea.	English
inferior	lower in rank	English
gratify	give (someone) pleasure or satisfaction.	English
exemplar	model	English
discreet	careful	English
autocratic	tyrannical	English
dissipate	squander	English
indecorous	impolite	English
accolade	high praise (Jean Paul-Sartre was not a fan of ... and such, he refused to accept the Nobel Prize for Literature in 1964)	English
affluent	wealthy	English
disingenuous	pretending to be honest	English
miser	one who is cheap	English
avid	enthusiastice, keen	English
demean	insult (at first the soccer players bantered back and forth, but as soon as one of the players became ...)	English
lament	a passionate expression of grief or sorrow	English
contemptuous	scornful	English
debonair	sophisticated, charming	English
assiduously	with great care	English
yammer	to whine or complain	English
chivalrous	marked by honor, courtesy, and courage	English
Vocation	(n) any trade, profession, or occupation; a sense of fitness or special calling for one's work	English
bashful	feeling embarrassed due to modesty	English
courteous	nice and showing respect        	English
hush	a sudden calm, silent	English
haphazard	unorganized	English
prevalent	worldwide spread	English
taciturn	quiet	English
ascendancy	dominant position (the ... of the Carishad water polo team is clear - they have a decade of championships behind them)	English
rarefied	refined (Jack's vulgar jokes were not so successful in the ... environment of college professors)	English
eponym	derived from a name (Alexandria, Egypt is an .. Because it is named after the Alexander the Great)	English
convivial	friendly and lively (The wedding reception was ... ; friends who hadn't seen each other for ages drank and ate together before heading to the dance floor.)	English
factitious	artifical (The defendant's story was largely ... and did not accord with eyewitness testimonies)	English
conspicuous	obvious (Among the tall trees and flower fields, the building seemed out of place with its ...,col concrete and angular steel exterior.)	English
confine	prison	English
interior	n. of something is the inside part of it	English
universal	of, affecting, or done by all people or things in the world or in a particular group; applicable to all cases.	English
Fruition	The state of being real	English
ubiquitous	adj. found or existing everywhere	English
secrete	produce and discharge (a substance)	English
nectar	a sugar-rich liquid produced by plants	English
didacticism	Didacticism is a term that refers to a particular philosophy in art and literature that emphasizes the idea that different forms of art and literature ought to convey information and instructions, along with pleasure and entertainment.	English
discourse	written or spoken communication or debate.	English
equivocate	speak vaguely	English
decorum	proper conduct	English
pertinent	revelant	English
consecrate	make holy	English
holy	related to religion or a god	English
diatribe	verbal attack	English
ostracize	exclude	English
unpropitious	unlikely to be successful	English
machinate	scheme	English
belligerent	eager to fight	English
trite	lacking originality	English
apothegm	short saying	English
chimera	illusion	English
elusive	hard to pin down, to describe, find, achieve, or remember	English
tirade	angry speech	English
verisimilitude	appearance of truth	English
involved	complicated	English
malfeasance	misconduct	English
punctilious	overly precise	English
proscribe	ban	English
defiant	proudly refusing to obey authority	English
exonerate	free from blame. Eg: the document clearly indicated that Nick was out of the state at the time of the crime and so served to ... him of any charges	English
ostensible	appearing or claiming to be one thing when it is really something else	English
creed	a set of beliefs that influences the way you live	English
tangential	(of a subject or activity) different from or not directly connected with the one you are talking about or doing	English
sterling	excellent, valuable	English
cosseted	overly pampered	English
pampered	given special treatment that makes you feel as comfortable as possible or gives you whatever you want	English
quixotic	wildly impractical. Example: for every thousand startups with quixotic plans to be the next big name in ecommere, only a handful ever become profitable	English
esoteric	understood by few	English
tumult	chaos, confusion	English
inkling	vague sense	English
inflammatory	controversial	English
wax	increase gradually (her enthusiasm for the diva's new album only waxed with each song, by the end of the album, it was her favourite CD yet.)	English
protean	versatile	English
versatile	able to change easily	English
anodyne	that which soothes (Muzak, which is played in department stores, is intended to be an ... but is often so cheesy and over the top that customers become irritated)	English
peruse	read closely (Instead of ... important documents, people all too often rush to the bottom of the page and plaster their signatures at the bottom.)	English
sanguin	cheerful (with the prospect of having to learn 3,000 words during the course of the summer, Paul was anything but ...)	English
elegiac	mournful (Few can listen to the ... opening bars of the Moonlight sonata without feeling the urge to cry)	English
mournful	sorrowful	English
amalgam	mixture (the bland's music was an .. Of hihphop, flamenco and jazz, blening the three styles with suprising results)	English
incongruous	lacking harmony (the vast economic inequality of modern society is .. With America's ideals.	English
unscrupulous	unethical (In the courtroom, the lawyer was .. , using every manner of deceit and manipulation to secure a victory for himself)	English
ineffable	cant be put in words (While art critics can occasionally pinpoint a work's greatness, much of why a piece captures our imaginations is completely ...	English
immutable	not changeable (Taxes are one of the ... laws of the land, so there is no use arguing about paying them)	English
brook	put up with (While she was at the chalkboard, the teacher did not ... any form of talking - even a tiny peep resulted in afternoon detention)	English
byzantine	overly complex (Getting a drive's license is not simply a matter of taking a test, the regulations and procedures are so ... that many have found themselves at the mercy of the department of Motor vehicles)	English
maudlin	overly emotional (Just as those who were alive during the 70s are mortified that they once cavorted about in bellbottoms, many who lived during the 80s are aghast at the ... pop songs they used to enjoy - really, just what exactly is a total eclipse of the heart?)	English
arcane	obscure (Most college franternities are known for ...rituals that those hoping to join the fraternity must learn)	English
proselytize	attempt to convert (Lise loves her Mac but says little about it; by contrast, Jake will ..., interrogating anyone with an Android about why she didn't purchase an iPhone)	English
hackneyed	cliché (Cheryl rolled her eyes when she heard the lecturer's ...advice to be true to yourself	English
lugubrious	overly sad (at the funeral, ...song filled the small church)	English
poignant	emotionally touching (After the Montagues and Capulets discover the dead bodies of Romeo and Juliet, in the play's most ..moment, the two griefstricken families agree to end their feud once and for all)	English
invective	abusive language (The internet has unleashed the ...in many of us, many people post stinging criticism on the comment section)	English
graft	corruption (In countries with rampant ..getting a driver's license can require no more than paying an official)	English
abstruse	incomprehensible (Physics textbooks can seem so ...to the uninitiated that readers feel as though they are looking at hieroglyphics)	English
convoluted	extremely complex and difficult to follow	English
sediment	matter that settles to the bottom of a liquid; dregs	English
surmise	suppose that something is true without having evidence to confirm it	English
strata	a level or class to which people are assigned according to their social status, education, or income.	English
pentameter	is a poetic meter	English
oblique	difficult to understand (Mr Golding delivered an... warning, talking of the danger of sudden action.)	English
tatalizing	tormenting or teasing with the sight or promise of something unobtainable.	English
clich�	betray a lack of origins	English
subsistence farming	that provides enough food for the farmer and their family to live on, but not enough for them to sell	English
arbitrary	random	English
opaque	tough to understand	English
imbide	absorb ideas (Plato .. Socrates' teaching to such an extent that he was able to write volumes of work that he directly attributed)	English
contagious	adj.  spread from one person or organism to another	English
permeate	v. to spread through something and be present in every part of it	English
imprint	v. to make a surface by pressing sth into it for fix sth firmly in the memory	English
persistent	lasting for long time or difficult to get rid of	English
upswing	an increase or improvement	English
nadir	lowest point	English
attenuate	taper off	English
taper off	to become gradually smaller or less frequent	English
fickle	change unpredictably	English
inimitable	without equal	English
upheaval	a great change	English
morph	change dramatically	English
copious	abundant	English
entice	tempt	English
aberrant	abnormal	English
cede	give up control	English
presumptuous	overly forward	English
prolific	productive	English
patent	glaringly obvious	English
ascribe	attribute	English
inundate	flood	English
provident	planning ahead	English
replete	fully stocked	English
ameliorate	improve. Three cups of tea tells the story of western man who hopes to blank poverty and the lack of education in afghanistan	English
quandary	uncertainty	English
surfeit	excessive amount	English
antedate	precede	English
flush	abundant	English
burgeon	grow rapidly (China's housing market is ..., but some predict that the growth is merely, a bubble and will burst much like the US real estate bubble of 2008)	English
apotheosis	height of development (as difficult as it is to imagine, the ..of Mark Zuckerberg's career, many believe is yet to come.)	English
buck	resist (The profits at our firm .. The general downturn that affected the real estate industry)	English
prognostication	prediction (When the Senator was asked about where the negotiations would lead, he said that any guess he could make would be an unreliable ...)	English
flux	n.  quandary (Ever since Elvira resigned as the head of marketing, evrerything about our sale strategy has been in state of ..)	English
tractable	easily managed (compared to middle school students, who have an untamed wildness about them, high school students are somewhat more..)	English
suppress	prevent the development, action, or expression of (a feeling, impulse, idea, etc.); restrain.	English
avert	prevent	English
appreciable	noticeable	English
perturb	disturb	English
exponential	adj. dramatic (increase)	English
plunge	v. fall / to become lower in value very quickly	English
Repercussions	n.  the usually bad effect of an event, action, or decision	English
impunity	n. freedom from punishment	English
hone	v. refine or perfect (often for skill, capacity, experience)	English
innate	adj. natural, original (+ ability) 	English
adjacent to	adj. ~ next to 	English
leg up	n. an advantage or head start	English
acquisition	n. the act of obtaining or beginning to have something, or something obtain	English
ate it up	pv. enthusiastic ejoyed and appreciated	English
pump for	pv. excited and ready for something	English
volunteer gig	a short-term volunteering opportunity or job	English
stark contrast	a clear and noticeable difference	English
lo and behold	adv. something that you say when you tell someone about something surprising that happened	English
pyrotechnics	a show of great skill, especially by a musician or someone giving a speech:	English
holograms	an image made with a laser beam, in which the objects shown look like they have depth rather than appearing flat and can seem to move	English
props	objects or items used on stage or in a performance to enhance the setting or portray a character	English
feast	a large, special meal, often for many people, to celebrate someone or something	English
fleeting	adj. brief or quick	English
ample	adj. enough or more than enough	English
relent	v. to do something you had refused to do before	English
plead with	v. to earnestly and desperately request or beg for something	English
buzz	n. excitement or hype surrounding something	English
rave about	v. to speak or write about something with great enthusiasm	English
rejuvenate	v. to make someone look or young and energetic again	English
dip into	v.Using or spending a portion of something, typically money, that is meant to be saved or reserved	English
gratification	n. pleasure or satisfaction, or something which provides this	English
intricacy	a detail that is part of something complicated	English
leeway	a freedom to act within certain limits	English
in retrospect	looking back on the past	English
judiciously	adv. in a way has or shows reason and good judgment in making decision	English
chiropractic	a form of alternative medicine that focuses on the diagnosis and treatment of mechanical disorders of the musculoskeletal system, especially the spine, through manual manipulation	English
早上好	Chào buổi sáng!	Chinese
星期天	Hôm nay là Chủ nhật.	Chinese
orthodox	following or conforming to the traditional or generally accepted rules or beliefs of a religion, philosophy, or practice	English
起 床	Dậy đi, dậy đi, dậy đi	Chinese
懒 腰	Đầu tiên, hãy giãn cơ.	Chinese
洗 漱	Tiếp theo, tôi cần đi vệ sinh để rửa mặt.	Chinese
洗 脸	Sau đó rửa mặt.	Chinese
illicit	forbiden by law	English
涂 唇 膏	Thoa son môi	Chinese
清 洗	Dọn dẹp	Chinese
蜂 蜜	Đây là mật ong.	Chinese
diffusion	speading of something widely	English
